Firm Name,CRD Number,SEC Registration Type,Custodian,Has Proprietary Funds,ADV URL,IAPD Profile URL,FilingDate,Notes
"BRIGHT WEALTH MANAGEMENT, LLC",169771,SEC,,,,,3/28/2025,
PENFUND MANAGEMENT LIMITED,282893,SEC,,,,,3/27/2025,
MAYFLOWER ADVISORS,307857,SEC,,,,,3/21/2025,
SILVANT CAPITAL MANAGEMENT LLC,146025,SEC,,,,,3/21/2025,
"GEORGIA WEALTH PARTNERS, LLC",314602,SEC,,,,,3/21/2025,
LIVELLO CAPITAL MANAGEMENT LP,305403,SEC,,,,,3/20/2025,
GO INVEST LLC,291884,SEC,,,,,3/20/2025,
PENFUND PRIME MANAGEMENT LTD,333096,SEC,,,,,3/27/2025,
FOREPONT CAPITAL LLC,308323,SEC,,,,,3/28/2025,
HUTNER CAPITAL MANAGEMENT INC.,107896,SEC,,,,,3/28/2025,
CREADOR,170328,SEC,,,,,3/27/2025,
"KITCHEN VENTURES, LLC",307423,SEC,,,,,3/28/2025,
MARKER FINANCIAL ADVISORS LLC,165834,SEC,,,,,3/28/2025,
MPI WEALTH MANAGEMENT LLC,301011,SEC,,,,,3/28/2025,
GREAT MOUNTAIN PARTNERS,309528,SEC,,,,,3/28/2025,
PLEXUS CAPITAL,310241,SEC,,,,,3/28/2025,
TAULA CAPITAL MANAGEMENT (US) LLC,329865,SEC,,,,,3/28/2025,
EUBEL BRADY & SUTTMAN,107316,SEC,,,,,3/28/2025,
KENNEY INVESTMENTS INC,105665,SEC,,,,,3/28/2025,
"WIL, LLC",170737,SEC,,,,,3/28/2025,
"KEYFRAME CAPITAL PARTNERS, L.P.",305812,SEC,,,,,3/28/2025,
"JCP INVESTMENT MANAGEMENT, LLC",150635,SEC,,,,,3/28/2025,
JUNIPER HILL CAPITAL MANAGEMENT LP,300769,SEC,,,,,3/28/2025,
AXIUM INFRASTRUCTURE US INC.,168164,SEC,,,,,3/28/2025,
MORGAN PROPERTIES SPECIAL SITUATIONS II LLC,300795,SEC,,,,,3/28/2025,
"EVOLUTION CREDIT PARTNERS MANAGEMENT, LLC",292216,SEC,,,,,3/28/2025,
"HUDSON WAY CAPITAL MANAGEMENT, LLC",172400,SEC,,,,,3/28/2025,
SYNOVA  LLP,173443,SEC,,,,,6/3/2024,
"LIGHT FINANCIAL SERVICES, INC.",131678,SEC,,,,,3/18/2025,
"EASLEY INVESTMENT CONSULTANTS, INC.",307258,SEC,,,,,3/18/2025,
ARAMAS CAPITAL HOLDINGS LLC,331828,SEC,,,,,3/18/2025,
"SUSA VENTURES MANAGEMENT, LLC",172760,SEC,,,,,3/18/2025,
"WEALTH MANAGEMENT CONSULTANTS COLORADO, LLC",226545,SEC,,,,,3/18/2025,
"BROOKLINE WEALTH, LLC",322787,SEC,,,,,3/18/2025,
WATERFORD CAPITAL INVESTMENT ADVISORY SERVICES LLC,144172,SEC,,,,,3/18/2025,
"SHORE POINT ADVISORS, LLC",296848,SEC,,,,,3/18/2025,
KENDALL CAPITAL MANAGEMENT,134740,SEC,,,,,3/18/2025,
"GLOUSTON CAPITAL PARTNERS, LLC",133792,SEC,,,,,3/18/2025,
1791 MANAGEMENT LLC,309414,SEC,,,,,3/19/2025,
EVERHART ADVISORS,107091,SEC,,,,,3/18/2025,
"GREAT POINT PARTNERS, LLC",158423,SEC,,,,,3/28/2025,
ARSENAL CAPITAL MANAGEMENT LP,156896,SEC,,,,,3/28/2025,
"INITIALIZED CAPITAL MANAGEMENT, LLC",170329,SEC,,,,,3/28/2025,
COLUMBIA RIVER ADVISORS,154571,SEC,,,,,3/28/2025,
WI HARPER GROUP INC,161665,SEC,,,,,3/28/2025,
MAYCOMB CAPITAL,304785,SEC,,,,,3/28/2025,
FLYBRIDGE CAPITAL PARTNERS,161961,SEC,,,,,3/28/2025,
AOF MANAGEMENT LLC,170193,SEC,,,,,3/28/2025,
"ARISTOTLE INVESTMENT SERVICES, LLC",324207,SEC,,,,,3/28/2025,
"STRATEGIC VALUE PARTNERS, LLC",138406,SEC,,,,,3/28/2025,
MANENTIA WEALTH CONSULTING INC.,333415,SEC,,,,,4/4/2025,
"DOPKINS WEALTH MANAGEMENT, LLC",124209,SEC,,,,,4/4/2025,
"CONSCIOUS WEALTH INVESTMENTS, LLC",319143,SEC,,,,,4/4/2025,
HAMMOND ILES WEALTH ADVISORS,136372,SEC,,,,,4/4/2025,
"TOWNSQUARE CAPITAL, LLC",288576,SEC,,,,,4/3/2025,
INVESTX MASTER GP1 INC.,305400,SEC,,,,,4/3/2025,
"ASSET ALLOCATION STRATEGIES, LLC",152339,SEC,,,,,4/3/2025,
SANJAC ALPHA LP,329302,SEC,,,,,3/28/2025,
"SIGNATUREFD, LLC",112758,SEC,,,,,3/28/2025,
"PRIMESTOR INVESTMENT MANAGEMENT, LLC",322066,SEC,,,,,3/28/2025,
AON SECURITIES LLC,4138,SEC,,,,,3/28/2025,
MERIDIAM INFRASTRUCTURE NORTH AMERICA CORPORATION,161478,SEC,,,,,3/28/2025,
GENERATION INVESTMENT MANAGEMENT LLP,164371,SEC,,,,,3/28/2025,
AF VENTURES,299338,SEC,,,,,3/28/2025,
"NAVIMED CAPITAL ADVISORS, LLC",169508,SEC,,,,,3/28/2025,
LSP ADVISORY BV,320718,SEC,,,,,3/31/2025,
MIDOCEAN CREDIT PARTNERS,151578,SEC,,,,,3/31/2025,
STONE RIDGE ASSET MANAGEMENT LLC,165598,SEC,,,,,3/31/2025,
"BSIP SLP GP, LLC",298964,SEC,,,,,3/31/2025,
DUMONT GLOBAL LP,305883,SEC,,,,,3/31/2025,
INVESTINDUSTRIAL ADVISORS LIMITED,163406,SEC,,,,,3/31/2025,
"GE VERNOVA INVESTMENT ADVISERS, LLC",329905,SEC,,,,,3/30/2025,
"THE WEALTH GROUP, LTD",154106,SEC,,,,,3/30/2025,
"AUXIN GROUP WEALTH MANAGEMENT, LLC",226599,SEC,,,,,3/30/2025,
PLURAL CAPITAL,328314,SEC,,,,,3/30/2025,
"TGF MANAGEMENT COMPANY, LLC",333189,SEC,,,,,3/30/2025,
INGHAM RETIREMENT GROUP,106299,SEC,,,,,3/30/2025,
IMPERIAL FUND ASSET MANAGEMENT LLC,317525,SEC,,,,,3/30/2025,
ENDURANCE28 VC LLC,307613,SEC,,,,,3/30/2025,
"AVANTAX PLANNING PARTNERS, INC.",106237,SEC,,,,,3/30/2025,
VIOLA PARTNERS 4 MANAGEMENT LTD.,296507,SEC,,,,,3/30/2025,
UNITY PARTNERS,322847,SEC,,,,,3/30/2025,
INTERACTIVE VENTURE PARTNERS LLC,327825,SEC,,,,,3/30/2025,
COMUNIDAD REALTY PARTNERS,315665,SEC,,,,,3/30/2025,
"ARGOS CAPITAL PARTNERS, LLC",116165,SEC,,,,,3/30/2025,
"RAZOR'S EDGE VENTURES II, LLC",297288,SEC,,,,,3/31/2025,
"INNOVATING CAPITAL MANAGEMENT, LLC",291743,SEC,,,,,3/31/2025,
NEWLIGHT PARTNERS LP,296190,SEC,,,,,3/31/2025,
"HILLCREST CREDIT AND INCOME FUND II MANAGER, LLC",288671,SEC,,,,,3/30/2025,
"TRUEPOINT, INC.",105664,SEC,,,,,3/31/2025,
SOLUS ALTERNATIVE ASSET MANAGEMENT LP,144155,SEC,,,,,3/31/2025,
KLEINER PERKINS,161035,SEC,,,,,3/31/2025,
TOBA CAPITAL FUND II SERIES,169803,SEC,,,,,3/30/2025,
"ZMC ADVISORS, L.P.",161274,SEC,,,,,3/30/2025,
COLLABORATIVE FUND ADVISORS,327121,SEC,,,,,3/30/2025,
ALESCO ADVISORS LLC,108590,SEC,,,,,3/26/2025,
PKS INVESTMENT ADVISORS LLC,110147,SEC,,,,,3/26/2025,
INNOVATIVE PORTFOLIOS LLC,281382,SEC,,,,,3/26/2025,
1 SEED PARTNERS LLC,329288,SEC,,,,,3/26/2025,
"MQS MANAGEMENT, LLC",161238,SEC,,,,,3/26/2025,
"PROSPECT CAPITAL ADVISORS, LLC",119531,SEC,,,,,3/26/2025,
I SQUARED CAPITAL ADVISORS (US) LLC,168339,SEC,,,,,3/26/2025,
AIHC CAPITAL MANAGEMENT LIMITED,310459,SEC,,,,,3/26/2025,
"HUBBELL STRICKLAND WEALTH MANAGEMENT, LLC",301715,SEC,,,,,3/20/2025,
"CANAAN NATURAL GAS MANAGEMENT, LLC",161801,SEC,,,,,3/20/2025,
TSA WEALTH MANAGEMENT,323123,SEC,,,,,3/20/2025,
"NYES LEDGE CAPITAL MANAGEMENT, LLC",156746,SEC,,,,,3/20/2025,
HINSDALE ASSOCIATES,108293,SEC,,,,,3/20/2025,
"ORCHARD CAPITAL MANAGEMENT, LLC",269957,SEC,,,,,3/20/2025,
CURTIS CAPITAL ADVISORS,330835,SEC,,,,,3/20/2025,
"KLINGMAN AND ASSOCIATES, LLC",125618,SEC,,,,,3/20/2025,
GMF REAL ESTATE LLC,288251,SEC,,,,,3/20/2025,
"FORTUNA FUNDS, LLC",333660,SEC,,,,,3/20/2025,
MURPHY & MULLICK CAPITAL MANAGEMENT CORP,328629,SEC,,,,,3/18/2025,
WATERCOLOR FINANCIAL,327254,SEC,,,,,3/19/2025,
"BIRCHWOOD FINANCIAL PARTNERS, INC.",169962,SEC,,,,,3/19/2025,
ASTA INVESTMENT ADVISORS,307746,SEC,,,,,6/3/2024,
DATALIGN,317004,SEC,,,,,3/19/2025,
"PARCEIRO VENTURES MANAGEMENT, LLC",314857,SEC,,,,,4/4/2024,
"RESOLVE GROWTH PARTNERS MANAGEMENT CO., LLC",304608,SEC,,,,,3/26/2025,
I-CTHRU INC.,170875,SEC,,,,,3/26/2025,
ATFS ADVISERS,324191,SEC,,,,,3/26/2025,
EATON VANCE MANAGEMENT,104859,SEC,,,,,3/26/2025,
HUNTER LEWIS LLC,304985,SEC,,,,,3/26/2025,
POETIC GROUP LLC,293886,SEC,,,,,3/26/2025,
"DISTRIBUTION COGNIZANT, LLC",322048,SEC,,,,,3/26/2025,
CONTEXT CAPITAL MANAGEMENT LLC,115167,SEC,,,,,3/26/2025,
LARUS GESTORA DE RECURSOS LTDA.,324804,SEC,,,,,3/26/2025,
"GREENWICH WEALTH MANAGEMENT, LLC",142820,SEC,,,,,3/26/2025,
ALDEN CAPITAL,293551,SEC,,,,,3/26/2025,
ALDEN INVESTMENT GROUP,317077,SEC,,,,,3/26/2025,
"HARBERT FUND ADVISORS, INC.",110577,SEC,,,,,3/31/2025,
BROOKFIELD PUBLIC SECURITIES GROUP LLC,110497,SEC,,,,,3/31/2025,
"STONEKEEP INVESTMENTS, LLC",306144,SEC,,,,,3/31/2025,
"WYSER-PRATTE MANAGEMENT CO., INC.",106399,SEC,,,,,3/31/2025,
EQT PARTNERS JAPAN K.K.,321264,SEC,,,,,3/31/2025,
AMBER TRUST II MANAGEMENT S.A.,162770,SEC,,,,,3/31/2025,
BALCH HILL CAPITAL,113209,SEC,,,,,3/31/2025,
OLIVER CAPITAL MANAGEMENT,127606,SEC,,,,,3/31/2025,
"STRATEGAS SECURITIES, LLC DBA STRATEGAS RESEARCH PARTNERS",149326,SEC,,,,,3/31/2025,
ACCESS CAPITAL PARTNERS,331217,SEC,,,,,3/31/2025,
"BAIRD VENTURE PARTNERS MANAGEMENT COMPANY V, LLC",298155,SEC,,,,,3/31/2025,
SC LOWY ASSET MANAGEMENT (HK) LIMITED,312843,SEC,,,,,3/31/2025,
LUMENS CAPITAL PARTNERS,332753,SEC,,,,,3/31/2025,
KBI GLOBAL INVESTORS (NORTH AMERICA) LTD,113606,SEC,,,,,3/31/2025,
"STANCORP INVESTMENT ADVISERS, INC.",110228,SEC,,,,,3/31/2025,
"INTEGRITY ALLIANCE, LLC",139627,SEC,,,,,3/31/2025,
"N2 CAPITAL MANAGEMENT, LP",213516,SEC,,,,,3/26/2025,
"ROSEROCK CAPITAL MANAGEMENT, LP",305355,SEC,,,,,3/26/2025,
"DOLAN CAPITAL ADVISORS, LLC",269886,SEC,,,,,3/26/2025,
"CINCYTECH, LLC",284743,SEC,,,,,3/26/2025,
EMBARK MANAGEMENT LLC,287473,SEC,,,,,3/26/2025,
"OKAPI CAPITAL, LLC",310176,SEC,,,,,3/26/2025,
MAY RIVER CAPITAL,166007,SEC,,,,,3/26/2025,
"WISDOMTREE DIGITAL MANAGEMENT, INC.",322139,SEC,,,,,3/26/2025,
EASTSPRING INVESTMENTS (SINGAPORE) LIMITED,144603,SEC,,,,,3/26/2025,
GUARDIAN WEALTH MANAGEMENT,146923,SEC,,,,,3/26/2025,
ALBRITTON CAPITAL MANAGEMENT CO,112772,SEC,,,,,3/29/2025,
ARBOR CAPITAL MANAGEMENT INC,111362,SEC,,,,,3/29/2025,
MARCADO ASSET MANAGEMENT LLC,289136,SEC,,,,,3/29/2025,
GREGORY LYLE & CO.,113683,SEC,,,,,3/29/2025,
CONTOUR VENTURE PARTNERS,162419,SEC,,,,,3/29/2025,
WEALTHPRIME,332048,SEC,,,,,8/23/2024,
CURRY WEBB WEALTH MANAGEMENT LLC,168692,SEC,,,,,3/29/2025,
BUTTONWOOD CAPITAL MANAGEMENT (BCM),174857,SEC,,,,,3/29/2025,
LYFE CAPITAL MANAGEMENT LIMITED,306401,SEC,,,,,3/7/2025,
INFLECTION MANAGING PARTNER INC.,318165,SEC,,,,,3/7/2025,
CLEAR RETIREMENT ADVICE LLC,292667,SEC,,,,,3/23/2025,
"STOKES ASSET MANAGEMENT, LLC",322470,SEC,,,,,3/7/2025,
PROTIUM CAPITAL LIMITED,335585,SEC,,,,,4/25/2025,
ROOTED PLANNING GROUP,284120,SEC,,,,,3/7/2025,
LGT CAPITAL PARTNERS (IRELAND) LIMITED,162361,SEC,,,,,4/25/2025,
QUANTINNO CAPITAL MANAGEMENT LP,298733,SEC,,,,,4/25/2025,
"STARVEST MANAGEMENT, INC.",162345,SEC,,,,,3/6/2025,
"TULL FINANCIAL GROUP, INC.",112235,SEC,,,,,3/6/2025,
TELEIOS CAPITAL PARTNERS LLC,282532,SEC,,,,,4/25/2025,
PRINTERS ROW ADVISORS LLC,172028,SEC,,,,,3/17/2025,
HIGIVE LTD,320736,SEC,,,,,3/17/2025,
GEMMER ASSET MANAGEMENT LLC,109034,SEC,,,,,3/17/2025,
"AFFINITY INVESTMENT GROUP, LLC",117191,SEC,,,,,3/17/2025,
FORUM PRIVATE CLIENT GROUP,143075,SEC,,,,,3/17/2025,
"FLYNN ZITO CAPITAL MANAGEMENT, LLC",152689,SEC,,,,,3/7/2025,
WESTPORT ASSET MANAGEMENT INC,105795,SEC,,,,,3/7/2025,
"SCHOLTZ & COMPANY, LLC",107363,SEC,,,,,3/6/2025,
STRAIGHT PATH WEALTH MANAGEMENT,148897,SEC,,,,,3/6/2025,
ASPECT ACQUISITION MANAGEMENT,288068,SEC,,,,,3/6/2025,
FIERA CAPITAL (ASIA) HONG KONG LIMITED,297705,SEC,,,,,3/30/2025,
"BRAEMAR CAPITAL MANAGEMENT, LLC",295554,SEC,,,,,3/30/2025,
"IAMS WEALTH MANAGEMENT, LLC",286085,SEC,,,,,3/30/2025,
IRIS CAPITAL GROUP LLC,323089,SEC,,,,,3/7/2025,
WIREGRASS ASSET MANAGEMENT,284608,SEC,,,,,3/7/2025,
"CULLEN, PATTERSON CAPITAL MANAGEMENT, LLC",167195,SEC,,,,,3/7/2025,
"SJW INVESTMENTS, LLC",321155,SEC,,,,,3/30/2025,
LOYOLA ASSET MANAGEMENT LLC,153255,SEC,,,,,4/14/2025,
REMBERT PENDLETON JACKSON,306510,SEC,,,,,4/14/2025,
JAIN GLOBAL LLC,330309,SEC,,,,,4/14/2025,
DAVIDE LEONE AND PARTNERS INVESTMENT COMPANY LTD,301102,SEC,,,,,5/24/2024,
GALLO PARTNERS LP,329774,SEC,,,,,4/14/2025,
NOT A VENTURE FUND,318836,SEC,,,,,3/31/2024,
"PREVAIL INNOVATIVE WEALTH ADVISORS, LLC",288641,SEC,,,,,4/14/2025,
VETERI PLACE CORPORATION,160664,SEC,,,,,3/26/2025,
CREDIT FRONTIER HONG KONG LIMITED,300468,SEC,,,,,5/3/2024,
LOBBY CAPITAL AND AUGUST CAPITAL,160586,SEC,,,,,3/27/2025,
HFM WEALTH MANAGEMENT,105039,SEC,,,,,3/27/2025,
"POLARIS GROWTH MANAGEMENT, LLC",297431,SEC,,,,,3/27/2025,
NEW HORIZON MANAGERS LIMITED,166493,SEC,,,,,3/27/2025,
INTREPID CAPITAL MANAGEMENT INC,108516,SEC,,,,,3/27/2025,
"WESPAC ADVISORS, LLC",148242,SEC,,,,,3/27/2025,
"TICKERON, INC.",170121,SEC,,,,,4/6/2025,
TERRA FIRMA CAPITAL CORPORATION,323270,SEC,,,,,4/4/2025,
"CENTER LAKE CAPITAL MANAGEMENT, LLC",174311,SEC,,,,,4/5/2025,
"DAVIDSON CAPITAL MANAGEMENT, INC",112232,SEC,,,,,4/6/2025,
THAYER VENTURES,285321,SEC,,,,,4/6/2025,
"STRATEGIC FAMILY WEALTH COUNSELORS, L.L.C.",128199,SEC,,,,,3/17/2025,
DRIVEN INVESTMENTS LLC,310095,SEC,,,,,3/17/2025,
PILGRIM GLOBAL ADVISORS LLC,323259,SEC,,,,,3/17/2025,
LIBRETTO,292052,SEC,,,,,3/17/2025,
"LION EQUITY INVESTMENT ADVISORS, LLC",283404,SEC,,,,,3/17/2025,
WAHA INVESTMENT PJSC,286370,SEC,,,,,3/17/2025,
OPTIMAS CAPITAL MANAGEMENT PTE. LTD.,324625,SEC,,,,,3/17/2025,
FIRST COMMIT IM OÜ,331797,SEC,,,,,3/17/2025,
COPPER STREET CAPITAL LLP,288882,SEC,,,,,3/17/2025,
DIASTOLE WEALTH MANAGEMENT,111604,SEC,,,,,3/17/2025,
SCHRODER INVESTMENT MANAGEMENT (SWITZERLAND) AG,309892,SEC,,,,,3/17/2025,
"THIRD STAGE INVESTMENT GROUP, LLC",141951,SEC,,,,,3/17/2025,
"NORTH BRIDGE VENTURE MANAGEMENT COMPANY, LLC",162010,SEC,,,,,3/29/2025,
RESOLUTE PARTNERS GROUP,300326,SEC,,,,,3/29/2025,
"POMONA WEALTH MANAGEMENT, LLC",329171,SEC,,,,,3/29/2025,
"GLASSMAN WEALTH SERVICES, LLC",151478,SEC,,,,,3/29/2025,
"FARTHER ASSET MANAGEMENT, LLC",325807,SEC,,,,,3/29/2025,
"AFORE CAPITAL MANAGEMENT, LLC",285601,SEC,,,,,3/17/2025,
EXTRACT ADVISORS,285535,SEC,,,,,3/17/2025,
"S&A FINANCIAL SERVICES, INC.",110471,SEC,,,,,3/17/2025,
MBO+ SAS,162314,SEC,,,,,3/17/2025,
CARBON INFRASTRUCTURE PARTNERS CORP.,159707,SEC,,,,,3/17/2025,
EQT PARTNERS DENMARK APS,310182,SEC,,,,,3/30/2025,
CARY STREET PARTNERS,128545,SEC,,,,,3/30/2025,
CARY STREET PARTNERS ASSET MANAGEMENT,289178,SEC,,,,,3/30/2025,
SANDBROOK CAPITAL MANAGEMENT LP,317009,SEC,,,,,3/30/2025,
"CAP PARTNERS, LLC",144779,SEC,,,,,3/30/2025,
"TAYLOR DERRICK CAPITAL, L.L.C.",158016,SEC,,,,,3/30/2025,
AAM,109875,SEC,,,,,3/30/2025,
"BRAEMAR CAPITAL MANAGEMENT III, L.P.",295530,SEC,,,,,3/30/2025,
"TALISMAN WEALTH ADVISORS, LLC",313283,SEC,,,,,3/30/2025,
ANDREESSEN HOROWITZ,160489,SEC,,,,,3/30/2025,
LEA PARTNERS GMBH,329061,SEC,,,,,3/30/2025,
BRAEMAR ENERGY VENTURES LLC,163456,SEC,,,,,3/30/2025,
"WILLOWRIDGE PARTNERS, INC.",157116,SEC,,,,,3/17/2025,
PROFFITT & GOODSON INC.,105278,SEC,,,,,3/31/2025,
"MEDIA DEVELOPMENT INVESTMENT FUND, INC.",282385,SEC,,,,,3/30/2025,
BURREN CAPITAL ADVISORS LIMITED,157096,SEC,,,,,3/17/2025,
"CROWN ADVISORS MANAGEMENT, INC.",109720,SEC,,,,,3/17/2025,
"SEQUOIA WEALTH MANAGEMENT, LLC",170543,SEC,,,,,3/17/2025,
"FLYING FISH MANAGEMENT, LLC",288752,SEC,,,,,3/17/2025,
BAYHAWK CAPITAL LP,328829,SEC,,,,,3/31/2025,
"GEM INVESTMENT ADVISORS, LLC",170780,SEC,,,,,3/31/2025,
TIDAL INVESTMENTS LLC,164201,SEC,,,,,3/31/2025,
QUANTECH SOLUTION PARTNERS NORTH AMERICA INC.,315603,SEC,,,,,3/31/2025,
AG GLOBAL ADVISORS LLC,155398,SEC,,,,,3/31/2025,
CIRCULATE CAPITAL MANAGEMENT PTE. LTD.,304837,SEC,,,,,3/31/2025,
"CLEAR SKY ADVISERS, LLC",311751,SEC,,,,,3/31/2025,
QUADRANT REAL ESTATE ADVISORS LLC,138077,SEC,,,,,3/31/2025,
MAGNIFI,309397,SEC,,,,,3/31/2025,
"KEENAN CAPITAL, LLC",167390,SEC,,,,,3/27/2025,
"AXIAL READE CAPITAL, LP",301386,SEC,,,,,3/27/2025,
WEALTH MANAGEMENT SOLUTIONS,127517,SEC,,,,,3/27/2025,
"SAND HILL GLOBAL ADVISORS, LLC",111295,SEC,,,,,3/27/2025,
TREASURYSPRING MANAGEMENT (JERSEY) LIMITED,325662,SEC,,,,,6/13/2024,
NORTH ISLAND VENTURES,309291,SEC,,,,,3/27/2025,
SKY9 CAPITAL LTD.,283136,SEC,,,,,3/27/2025,
"CREATIVE FINANCIAL DESIGNS, INC.",109032,SEC,,,,,3/27/2025,
"TYR CAPITAL ADVISORS, LLC",326208,SEC,,,,,3/27/2025,
"MSA CHINA FUND II GP, LLC",332202,SEC,,,,,3/27/2025,
"FOUNDER'S CO-OP MANAGEMENT II, LLC",161880,SEC,,,,,3/28/2025,
ONE MADISON GROUP LLC,320876,SEC,,,,,3/28/2025,
"GRASSHOPPER ESCAPEMENT, LLC",162089,SEC,,,,,3/28/2025,
GOLDENTREE ASSET MANAGEMENT LP,112753,SEC,,,,,3/28/2025,
"BWCP, LP",305638,SEC,,,,,3/28/2025,
BRIDGES FUND MANAGEMENT LIMITED,288482,SEC,,,,,7/1/2024,
"OAK HILL CAPITAL MANAGEMENT, LLC",136656,SEC,,,,,3/28/2025,
SALI FUND SERVICES,124235,SEC,,,,,3/28/2025,
CL STRATEGIC MANAGEMENT LIMITED,331418,SEC,,,,,5/15/2024,
"SSCI PORTUGAL, LDA",329891,SEC,,,,,3/16/2025,
LIFECYCLE FINANCIAL PLANNERS INC.,290250,SEC,,,,,3/16/2025,
"TORTOISE INVESTMENT MANAGEMENT, LLC",128723,SEC,,,,,3/29/2025,
"FIRST CITIZENS INVESTOR SERVICES, INC.",44430,SEC,,,,,3/29/2025,
MCP INVESTMENT MANAGEMENT LIMITED,284313,SEC,,,,,3/29/2025,
MACQUARIE INFRASTRUCTURE MANAGEMENT (ASIA) PTY LIMITED,173945,SEC,,,,,6/26/2024,
CASSIUS FAMILY MANAGEMENT LLC,296899,SEC,,,,,3/29/2025,
BROAD REACH INVESTMENT MANAGEMENT LLP,285755,SEC,,,,,6/26/2024,
SAMARA CAPITAL MANAGEMENT LIMITED,162273,SEC,,,,,3/29/2025,
"HARVEST PARTNERS, LP",158284,SEC,,,,,3/31/2025,
CRESCENDO EQUITY PARTNERS LIMITED,319233,SEC,,,,,3/17/2025,
"CHAMPION HILL LABS, LLC",323636,SEC,,,,,3/31/2025,
KV SERVICES II LIMITED,151518,SEC,,,,,3/31/2025,
"THERIUM CAPITAL MANAGEMENT (USA), INC.",292328,SEC,,,,,3/31/2025,
FRONTLINE BIOVENTURES (HONG KONG) LIMITED,294719,SEC,,,,,3/31/2025,
"OPERATOR COLLECTIVE MANAGEMENT, L.L.C.",304960,SEC,,,,,3/31/2025,
GOALVEST ADVISORY LLC,285374,SEC,,,,,3/31/2025,
BRYNWOOD PARTNERS,158087,SEC,,,,,3/31/2025,
THOMASLLOYD CLIMATE SOLUTIONS LLC,298222,SEC,,,,,3/31/2025,
KLUZ VENTURES,292197,SEC,,,,,3/17/2025,
"MOON CAPITAL MANAGEMENT, LLC",107612,SEC,,,,,3/31/2025,
ALPHA ASSET MANAGEMENT,112571,SEC,,,,,3/17/2025,
"SACHS CAPITAL PARTNERS, LLC",321106,SEC,,,,,3/31/2025,
"BEN'S BITES CAPITAL SERVICES, LLC",330471,SEC,,,,,3/17/2025,
"ESSENTIAL PLANNING, LLC",106651,SEC,,,,,3/6/2025,
WINCORAM ASSET MANAGEMENT LLC,312425,SEC,,,,,3/29/2025,
CLEARFIELD CAPITAL MANAGEMENT LP,174981,SEC,,,,,3/29/2025,
WM 23 LLC,327755,SEC,,,,,3/29/2025,
KAPUSTA FINANCIAL GROUP,123349,SEC,,,,,3/6/2025,
"EAGLE CAPITAL INTERNATIONAL, LLC",299541,SEC,,,,,3/29/2025,
